analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
On,50,50,2,0.008871,0.00533,132.082,0,0
On,50,50,3,0.048874,0.039672,147.865,0,0
On,50,50,4,0.051915,0.035499,132.776,0,0
On,50,50,5,0.012377,0.008542,94.2773,0,0
On,50,50,6,0.015247,0.010836,103.3,0,0
On,50,50,7,0.027293,0.021707,136.827,0,0
On,50,50,8,0.038539,0.026667,178.726,0,0
On,50,50,9,0.038588,0.0295,199.245,0,0
On,50,50,10,0.037998,0.027292,157.429,0,0
On,50,50,11,0.059792,41.259,214.274,0,17118
On,50,50,12,0.052581,34.264,219.844,0,34103
On,50,50,13,0.041626,26.4845,160.946,0,50618
On,50,50,14,0.057538,33.8206,184.75,0,65276
On,50,50,15,0.085668,44.6425,233.312,0,82076
On,50,50,16,0.044043,37.9886,179.331,0,101230
On,50,50,17,0.031961,37.8727,178.617,0,107543
On,50,50,18,0.024753,32.6956,175.755,0,110140
On,50,50,19,0.028129,31.8055,152.338,0,107881
On,50,50,20,0.039994,31.0722,161.07,0,100479
On,50,50,21,0.03734,38.5202,194.209,0,92714
On,50,50,22,0.014499,34.5511,170.31,0,88476
On,50,50,23,0.043502,36.1592,182.632,0,85631
On,50,50,24,0.0457,44.5292,208.242,0,84960
On,50,50,25,0.052501,41.8851,199.624,0,85478
On,50,50,26,0.056662,43.3563,214.334,0,87108
On,50,50,27,0.037087,27.9752,146.803,0,87113
On,50,50,28,0.022792,30.7647,157.808,0,86989
On,50,50,29,0.038704,43.2206,217.673,0,88280
On,50,100,0,0.032665,0.025589,220.674,0,0
On,50,100,1,0.024121,0.019284,182.924,0,0
On,50,100,2,0.025208,0.02154,197.064,0,0
On,50,100,3,0.05875,0.036712,207.858,0,0
On,50,100,4,0.062457,0.045495,230.303,0,0
On,50,100,5,0.067333,0.050794,235.843,0,0
On,50,100,6,0.022623,0.014378,187.385,0,0
On,50,100,7,0.052334,0.044997,213.129,0,0
On,50,100,8,0.047207,0.03667,216.376,0,0
On,50,100,9,0.040456,0.031742,219.566,0,0
On,50,100,10,0.052536,0.039833,208.351,0,0
On,50,100,11,0.015748,26.3407,165.991,0,17118
On,50,100,12,0.038706,54.2754,239.149,0,34103
On,50,100,13,0.078167,54.8374,243.714,0,50618
On,50,100,14,0.048289,34.9865,220.531,0,65276
On,50,100,15,0.041459,45.5197,199.954,0,82076
On,50,100,16,0.023703,25.9295,172.26,0,101230
On,50,100,17,0.068374,54.1153,255.493,0,107543
On,50,100,18,0.052582,42.0355,209.292,0,110140
On,50,100,19,0.057291,39.3349,238.464,0,107881
On,50,100,20,0.041081,37.6498,189.333,0,100479
On,50,100,21,0.032372,30.7223,156.114,0,92714
On,50,100,22,0.017166,31.0231,164.32,0,88476
On,50,100,23,0.006203,35.1178,182.681,0,85631
On,50,100,24,0.028875,49.362,243.028,0,84960
On,50,100,25,0.064998,49.776,240.376,0,85478
On,50,100,26,0.046416,33.8439,195.889,0,87108
On,50,100,27,0.052332,38.7515,221.86,0,87113
On,50,100,28,0.039581,36.6195,224.819,0,86989
On,50,100,29,0.048371,52.5011,266.373,0,88280
On,100,20,0,0.033043,0.027589,195.475,0,0
On,100,20,1,0.027418,0.021913,188.32,0,0
On,100,20,2,0.030916,0.022668,173.73,0,0
On,100,20,3,0.033462,0.026795,179.005,0,0
On,100,20,4,0.019788,0.033709,148.366,0,0
On,100,20,5,0.024753,0.017625,187.428,0,0
On,100,20,6,0.050457,0.034415,216.98,0,0
On,100,20,7,0.03992,0.024956,211.012,0,0
On,100,20,8,0.04262,0.033414,209.047,0,0
On,100,20,9,0.029045,0.02562,180.701,0,0
On,100,20,10,0.032497,0.026877,182.382,0,0
On,100,20,11,0.055504,36.1876,208.015,0,69731
On,100,20,12,0.047958,39.943,223.208,0,138198
On,100,20,13,0.04783,50.8125,240.525,0,208152
On,100,20,14,0.017505,45.775,220.518,0,284282
On,100,20,15,0.021746,38.7031,197.599,0,373081
On,100,20,16,0.049083,52.5203,240.816,0,471161
On,100,20,17,0.064915,59.4624,266.137,0,532441
On,100,20,18,0.032963,50.5583,233.381,0,549718
On,100,20,19,0.035795,53.491,248.147,0,538347
On,100,20,20,0.054335,57.8985,273.562,0,507613
On,100,20,21,0.056202,57.2232,260.369,0,472131
On,100,20,22,0.037584,48.4033,237.398,0,446102
On,100,20,23,0.028589,37.3906,199.045,0,426030
On,100,20,24,0.028579,44.3908,212.572,0,414332
On,100,20,25,0.035708,49.873,233.29,0,413835
On,100,20,26,0.046628,52.7063,244.183,0,422734
On,100,20,27,0.016251,47.7788,211.647,0,435062
On,100,20,28,0.027957,49.2016,234.493,0,452136
On,100,20,29,0.031915,44.1014,209.127,0,468839
On,100,50,0,0.019794,0.016288,184.587,0,0
On,100,50,1,0.014544,0.010579,170.726,0,0
On,100,50,2,0.043249,0.026708,219.155,0,0
On,100,50,3,0.036667,0.027955,212.713,0,0
On,100,50,4,0.023795,0.015875,197.838,0,0
On,100,50,5,0.027253,0.019627,190.141,0,0
On,100,50,6,0.025581,0.018208,189.113,0,0
On,100,50,7,0.021413,0.015459,166.564,0,0
On,100,50,8,0.029168,0.017539,199.261,0,0
On,100,50,9,0.033959,0.025754,226.952,0,0
On,100,50,10,0.027664,0.018998,197.355,0,0
On,100,50,11,0.026376,33.1175,216.559,0,69731
On,100,50,12,0.051745,54.8095,257.563,0,138198
On,100,50,13,0.051499,52.4675,254.957,0,208152
