analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
On,50,100,7,0.005411,24.461,133.396,0,0
On,50,100,8,0.003378,24.6785,130.255,0,0
On,50,100,9,0.003501,27.11,131.841,0,0
On,50,100,10,0.004628,25.772,133.488,0,3870
On,50,100,11,75.7102,39.0735,221.296,1166590,31907
On,50,100,12,63.1427,34.7586,189.938,2013995,65325
On,50,100,13,127.011,54.9854,290.814,2597332,98883
On,50,100,14,135.263,49.254,299.531,2982541,126863
On,50,100,15,135.266,48.7498,300.154,3508877,160022
On,50,100,16,135.619,54.5547,306.139,3971831,198349
On,50,100,17,132.334,48.43,297.447,4095896,210472
On,50,100,18,130.807,47.4667,295.097,3938935,214780
On,50,100,19,114.786,48.199,274.905,3721365,215067
On,50,100,20,115.808,51.563,279.812,3476816,201932
On,50,100,21,112.723,51.2007,275.636,3344828,190228
On,50,100,22,115.551,51.5363,294.243,3348831,188499
On,50,100,23,114.305,51.1958,286.567,3470833,191475
On,50,100,24,115.69,54.7507,279.676,3558640,193876
On,50,100,25,116.313,51.263,274.91,3643561,196343
On,50,100,26,119.22,54.7615,285.43,3827203,205386
On,50,100,27,117.234,59.6839,300.766,4017074,211772
On,50,100,28,116.72,57.9097,294.854,4095872,216083
On,50,100,29,116.83,51.1922,289.111,4187735,220678
On,100,20,0,0.004379,18.0986,113.547,0,0
On,100,20,1,0.003286,19.1514,113.328,0,0
On,100,20,2,0.005286,24.4495,124.931,0,0
On,100,20,3,0.014753,47.0165,207.079,0,0
On,100,20,4,0.031123,89.7733,319.413,0,0
On,100,20,5,0.01204,27.9205,153.859,0,0
On,100,20,6,0.004826,24.0785,131.384,0,0
On,100,20,7,0.007584,27.6114,139.844,0,0
On,100,20,8,0.025837,27.2196,172.816,0,0
On,100,20,9,0.010129,19.962,136.022,0,0
On,100,20,10,0.007748,20.349,119.872,0,15827
On,100,20,11,62.6185,38.1642,203.148,430560,137254
On,100,20,12,67.8982,47.6758,270.824,807707,267331
On,100,20,13,47.174,45.7125,191.449,1142151,405952
On,100,20,14,69.3102,41.9522,211.662,1451439,557865
On,100,20,15,86.6847,52.3474,244.493,1778034,732925
On,100,20,16,88.9922,48.0743,244.492,2181173,923887
On,100,20,17,86.7211,54.1553,265.056,2324882,1039980
On,100,20,18,92.1366,64.8166,300.997,2397188,1069034
On,100,20,19,62.946,56.663,241.543,2368600,1045879
On,100,20,20,62.2988,47.6648,215.876,2285808,984533
On,100,20,21,61.6613,49.0174,214.981,2183059,911016
On,100,20,22,60.9541,49.5803,209.692,2089919,858280
On,100,20,23,59.834,48.3137,217.113,2023959,823341
On,100,20,24,58.668,48.055,220.76,1980802,805437
On,100,20,25,62.8861,49.919,220.423,1963776,806642
On,100,20,26,60.4192,55.0084,236.811,2001431,827953
On,100,20,27,61.0242,53.4683,231.228,2063796,856329
On,100,20,28,60.3557,48.1786,222.785,2133179,888341
On,100,20,29,61.6287,51.0384,232.196,2187777,917317
On,100,50,0,0.005458,26.1284,141.722,0,0
On,100,50,1,0.005832,29.6241,145.278,0,0
On,100,50,2,0.00633,27.1952,146.862,0,0
On,100,50,3,0.016955,29.794,154.36,0,0
On,100,50,4,0.00854,26.5537,135.842,0,0
On,100,50,5,0.004912,22.5654,127.399,0,0
On,100,50,6,0.017077,23.7381,133.801,0,0
On,100,50,7,0.006249,26.921,138.214,0,0
On,100,50,8,0.003373,26.0255,136.704,0,0
On,100,50,9,0.004162,29.104,146.404,0,0
On,100,50,10,0.006077,27.3192,145.251,0,15827
